	left_context	named_entities	right_context
73	сентября 1887 года американский изобретатель	Эмиль Берлинер 	подал заявку на патент устройства для
74	на изобретение. Предшественники граммофона фонограф	Томаса Эдисона 	и графофон Чичестера Белла двоюродного брата
75	фонограф Томаса Эдисона и графофон	Чичестера Белла 	двоюродного брата Александра Грэхема Белла и
76	графофон Чичестера Белла двоюродного брата		двоюродного брата Александра Грэхема Белла и
77	брата Александра Грэхема Белла и	Чарльза Тейнтера 	таких недостатков имели немало. Звук при
78	1887 года американский изобретатель Эмиль	Берлинер 	подал заявку на патент устройства для
79	при изготовлении большого тиража. Граммофоны	Берлинера 	стали пользоваться популярностью и в 1895
80	факультета МГУ под руководством профессора	Михаила Городецкого 	в содружестве с коллегами из Швейцарии
81	школы Лозанны под руководством профессора	Тобиаса Киппенберга 	разработали метод позволяющий точно контролировать число
82	соавтор работы аспирант физического факультета	Григорий Лихачев 	. В своей работе ученые рассматривали
83	работы аспирант физического факультета Григорий	Лихачев 	. В своей работе ученые рассматривали
84	близкими набирая текст на экране.	Хокинг 	маршмэллоу и ледяная вода Ранее некоторым
85	страдает например знаменитый английский физик-теоретик		маршмэллоу и ледяная вода Ранее некоторым
86	на лице в случае со	Стивеном Хокингом 	это мимическая мышца щеки . Однако
87	Однако как сообщает соавтор исследования	Пол Нуюжукян 	в 2017 году планирующий стать доцентом
88	технологии совместно с профессором нейрохирургии	Джейми Хендерсоном 	.
89	менеджер в океанариуме Монтерей Бэй	Райан Бигелоу 	. Авторы исследования изучили мировые запасы
90	Калифорнийского университета в Санта Барбаре	Стив Гейнс 	. Меньше всего влияет на окружающую
91	шутят подыгрывают. Даже совсем пожилой	Рой Глаубер 	Roy Glauber американский физик лауреат Нобелевской
92	Даже совсем пожилой Рой Глаубер	Roy Glauber 	американский физик лауреат Нобелевской премии по
93	неформальное поведение нобелевских лауреатов. В	России 	их считают полубогами они заседают в
94	Д. Рогачева доктор физико-математических наук	Михаил Пантелеев.	Шапки у тромбоцитов открыла наша команда
95	тромбоцитов. Как было недавно показано	Михаилом Пантелеевым 	с коллегами из МГУ им. М.В.
96	достижения обошла вниманием российских исследователей.	Может 	это и к лучшему ведь речь
97	В этот раз организаторы пригласили	Дадли Хершбаха 	химия 1986 Эрика Маскина экономика 2007
98	пригласили Дадли Хершбаха химия 1986	Эрика Маскина 	экономика 2007 Ричарда Робертса физиология и
99	1986 Эрика Маскина экономика 2007	Ричарда Робертса 	физиология и медицина 1993 и Роя
100	физиология и медицина 1993 и	Роя Глаубера 	физика 2005 . Чтобы получить награды
101	репродуктологии присудили ученому из Египта	Ахмеду Шафику 	. Жюри отметили сразу две его
102	присудили ученому из Египта Ахмеду	Шафику	. Жюри отметили сразу две его
103	Зеландию и Великобританию вместе с	Марком Ависом 	Сарой Форб и Шилой Фергюсон .
104	Великобританию вместе с Марком Ависом	Сарой Форб 	и Шилой Фергюсон . Группа занимается
105	Марком Ависом Сарой Форб и	Шилой Фергюсон 	. Группа занимается исследованиями индивидуальности брендов.
106	почесали за премией Немецкие ученые	Кристоф Хельмчен 	Карина Палцер Томас Мюнте Шилке Андрес
107	премией Немецкие ученые Кристоф Хельмчен	Карина Палцер 	Томас Мюнте Шилке Андрес и Андреас
108	ученые Кристоф Хельмчен Карина Палцер	Томас Мюнте 	Шилке Андрес и Андреас Шпренгер увезли
109	Хельмчен Карина Палцер Томас Мюнте	Шилке Андрес 	и Андреас Шпренгер увезли Шнобелевскую премию
110	Томас Мюнте Шилке Андрес и	Андреас Шпренгер 	увезли Шнобелевскую премию по медицине. Приступая
111	награды по биологии достались британцам	Чарльзу Фостеру 	и Томасу Твейтсу которые однажды решили
112	достались британцам Чарльзу Фостеру и	Томасу Твейтсу 	которые однажды решили уподобиться животным. Чтобы
113	по биологии достались британцам Чарльзу	Фостеру	и Томасу Твейтсу которые однажды решили
114	книги Быть зверем . История	Томаса Твейтса 	являет собой воплощение классического кафкианского сюжета
115	британцам Чарльзу Фостеру и Томасу	Твейтсу	которые однажды решили уподобиться животным. Чтобы
116	и кажется незаслуженно вручили шведу	Фредрику Шебергу 	за описание удовольствия от коллекционирования насекомых
117	является первой частью автобиографической трилогии	Шеберга 	Путь энтомолога . В Ловушке для
118	ней сразу же положительно отозвался	Тумас Транстремер 	нобелевский лауреат по литературе 2011 года.
119	ученые между ног Японских ученых	Ацуки Хигасияма 	и Кохей Адачи наградили за исследования
120	Японских ученых Ацуки Хигасияма и	Кохей Адачи 	наградили за исследования в области перцептивных
121		Виталий Лазаревич Гинзбург 	был поистине уникальной личностью. Гениальный ученый
122	Виталий Лазаревич 	Гинзбург 	был поистине уникальной личностью. Гениальный ученый
123	собиралась вся Москва. Известный космолог	Вячеслав Муханов 	один из авторов доказательства инфляционной теории
124	правильно определять приоритеты. Многие коллеги	Гинзбурга 	называли его универсалом то есть таким
125	Виталий Лазаревич рассказывал об этом	Эйнштейн 	предсказал гравитационные волны еще в 1916
126	я практически не сотрудничал с	Гинзбургом 	у нас есть единственная совместная статья
127	как в свое время сказал		предсказал гравитационные волны еще в 1916
128	время сказал Альберт Эйнштейн о	Максе Планке 	. Таких жрецов единицы и Виталий
129	химической физики Российской академии наук	Владик Аветисов 	рассказал Indicator.Ru о Нобелевской премии по
130	о Нобелевской премии по химии	Фейнмане 	и фабриках молекулярных машин. Насколько актуальны
131	молекулярных машин. Насколько актуальны исследования	Соважа 	Стоддарта и Феринги за которые они
132	машин. Насколько актуальны исследования Соважа	Стоддарта 	и Феринги за которые они были
133	актуальны исследования Соважа Стоддарта и	Феринги 	за которые они были удостоены премии
134	технологии. Но идеи высказывались еще	Фейнманом 	Ричард Фейнман нобелевский лауреат по физике
135	Но идеи высказывались еще Фейнманом		и фабриках молекулярных машин. Насколько актуальны
136	в создание молекулярных машин. Например	Гросберг 	Нечаев Шахнович одними из первых предположили
137	создание молекулярных машин. Например Гросберг	Нечаев 	Шахнович одними из первых предположили создание
138	молекулярных машин. Например Гросберг Нечаев	Шахнович 	одними из первых предположили создание самосборных
139	Нобелевской премии за высокотемпературную сверхпроводимость	Мюллер 	и Бедронц 1987 год подтолкнуло развитие
140	за высокотемпературную сверхпроводимость Мюллер и	Бедронц 	1987 год подтолкнуло развитие практических и
141	но все же пионерские работы.	Можно 	ли сказать что молекулярные машины подобны
142	самообразованием изучала математику читала труды	Шарля Монтескьё 	и Вольтера . Рано начала интересоваться
143	читала труды Шарля Монтескьё и	Вольтера 	. Рано начала интересоваться политикой и
144	поездке по Европе познакомилась с	Вольтером 	общалась с Дени Дидро и Адамом
145	познакомилась с Вольтером общалась с	Дени Дидро 	и Адамом Смитом посетила Оксфорд. Именно
146	общалась с Дени Дидро и	Адамом Смитом 	посетила Оксфорд. Именно княгиня Дашкова которая
147	родился итальянский физик и математик	Эванджелиста Торричелли 	. Семья Эванджелисты была небогата однако
148	итальянский физик и математик Эванджелиста	Торричелли 	. Семья Эванджелисты была небогата однако
149	блестящие способности юноша стал учеником	Бенедетто Кастелли 	преподавателя математики в Римском университете Ла
150	свою очередь ученика и соратника	Галилея 	. Эванджелиста стал секретарем Кастелли заменяя
151	способности юноша стал учеником Бенедетто	Кастелли 	преподавателя математики в Римском университете Ла
152	этом качестве Торричелли переписывался с	Галилеем 	когда Кастелли не было в Риме.
153	одном из писем он рассказал	Галилею 	которым восхищался о своем увлечении математикой
154	на идеи другого ученика Кастелли	Бонавентуры Кавальери 	. Много внимания ученый уделял геометрическим
155	1644 году в письме математику	Микеланджело Риччи 	он написал Мы живем на дне
156	из углекислого газа кстати открытая	Ломоносовым 	самое крупное астрономическое открытие сделанное в
157	сотрудник Института космических исследований РАН	Леонид Ксанфомалити 	открывший на материалах более поздних Венер
158	финского инженера музыканта и ученого	Эркки Куренниеми 	Erkki Kurenniemi . К своему стыду
159	инженера музыканта и ученого Эркки	Куренниеми 	Erkki Kurenniemi . К своему стыду
160	в создании электронной музыки. Искусствовед	Саймон Рейнолдс 	дал интересную оценку личности Куренниеми назвав
161	был математик доктор наук PHD		Erkki Kurenniemi . К своему стыду
162	его приглашает профессор кафедры музыковедения	Эрик Тавастстерна 	и предлагает создать в университете студию
163	речевым синтезатором. С 1987-го года	Куркиниеми 	становится начальником отдела планирования в научно-исследовательском
164	куратор коллекции членистоногих Клемсонского университета	Майкл Катерино 	Michael S. Caterino а также сотрудники
165	членистоногих Клемсонского университета Майкл Катерино	Michael S. Caterino 	а также сотрудники Штутгартского музея естественной
166	сотрудники Штутгартского музея естественной истории	Карин Вольф-Швеннингер 	Katrin Wolf-Schwenniger и Гюнтер Бехли Günter
167	музея естественной истории Карин Вольф-Швеннингер	Katrin Wolf-Schwenniger 	и Гюнтер Бехли Günter Bechly .
168	Карин Вольф-Швеннингер Katrin Wolf-Schwenniger и	Гюнтер Бехли 	Günter Bechly . Их статья опубликована
169	Katrin Wolf-Schwenniger и Гюнтер Бехли	Günter Bechly 	. Их статья опубликована в журнале
170	объекты находили в Центральных Андах.	Мэтью Причард 	из Корнельского университета называет их вулканами-зомби
171	хотя должны быть мертвы. Геофизик	Ян Хэмлинг 	Ian Hamling из института GNS Science
172	быть мертвы. Геофизик Ян Хэмлинг	Ian Hamling 	из института GNS Science один из
173	погибших от голода. Как установили	Джулия Бомон 	Julia Beaumont из Брэдфордского университета и
174	голода. Как установили Джулия Бомон	Julia Beaumont 	из Брэдфордского университета и Джанет Монтгомери
175	Beaumont из Брэдфордского университета и	Джанет Монтгомери 	Jannette Montgomery у жертв голода имеется
176	Брэдфордского университета и Джанет Монтгомери	Jannette 	Montgomery у жертв голода имеется характерное
177	университета и Джанет Монтгомери Jannette	Montgomery 	у жертв голода имеется характерное соотношение
178	лаборатории спектроскопии наноструктур под началом	Юрия Лозовика 	. На основе полученного решения они
179	сотрудник кафедры теоретической физики МФТИ	Александр Дорофеенко 	. Итоги исследования изложены в научном
180	образования. Группа исследователей под руководством	Данте Миннити 	Dante Minniti из Университета Андреса Белло
181	исследователей под руководством Данте Миннити	Dante 	Minniti из Университета Андреса Белло и
182	под руководством Данте Миннити Dante	Minniti 	из Университета Андреса Белло и Родриго
183	из Университета Андреса Белло и	Родриго Контрераса 	Rodrigo Contreras из Папского католического университета
184	Андреса Белло и Родриго Контрераса	Rodrigo Contreras 	из Папского католического университета Чили выполнила
185	из Университета Андреса Белло и	Родриго Контрераса	Rodrigo Contreras из Папского католического университета
186	и лизоциме водорастворимый белок пояснил	Алексей Власов 	сотрудник Лаборатории перспективных исследований мембранных белков
187	из бивня мамонта фигурку палеолитической	Венеры 	. О находке сообщает пресс-релиз института.
188	археологии каменного века ИА РАН	Константин Гаврилов 	. Крупная стоянка времен палеолита возле
189	села Хотылево была открыта археологом	Федором Заверняевым 	в 1963 году. Он исследовал часть
190	следы обработки что по словам	Гаврилова 	придает ей особую выразительность.
191	России в этой отрасли рассказывает	Станислав Вавилов 	научный сотрудник Университета Массачусетса Бостон исследователь
192	Дня биологии ИБХ РАН рассказала	Анастасия Сычева 	аспирант ИБХ РАН. Специально для читателей
193	организаторов премии имени Гарри Гудини	Александр Панчин 	. Для чего была создана премия
194	английский математик логик фотограф изобретатель	Чарльз Лютвидж Доджсон 	. О человеке стремившемся сделать математику
195	его и знаем. С этим	Доджсону 	помог его издатель Эдмунд Йейтс. Идея
196	логик фотограф изобретатель Чарльз Лютвидж	Доджсон 	. О человеке стремившемся сделать математику
197	экспериментаторов Физика Фотоаппарат появился у	Доджсона 	в 1856 году он был желанной
198	и художника Джона Рескина дарвиниста	Томаса Гексли 	и физика Майкла Фарадея . Да
199	дарвиниста Томаса Гексли и физика	Майкла Фарадея 	. Да и себя в качестве
200	в виде диалогов работу о	Евклиде 	учения которого уже начали ставить под
201	мыслями на этот счет поделился	Геннадий Валявин 	кандидат физико-математический наук старший научный сотрудник
202	в США скончался Нобелевский лауреат	Алексей Абрикосов 	. Из наших соотечественников получавших Нобелевскую
203	в живых осталось только три.	Человеку 	открывшему новый тип сверхпроводников ученику великого
204	он уже был учеником великого	Льва Ландау 	сдав ему в 19 знаменитый теорминимум
205	США скончался Нобелевский лауреат Алексей	Абрикосов 	. Из наших соотечественников получавших Нобелевскую
206	уже был учеником великого Льва	Ландау 	сдав ему в 19 знаменитый теорминимум
207	Земли одна из важнейших работ	Абрикосова 	посвящена тому как в планетах-гигантах под
208	коллега и соавтор профессор МИСиС	Юрий Векилов 	Абрикосов был замечательным человеком и отличным
209	Абрикосов вместе с нашим соотечественником	Виталием Гинзбургом 	и американцем Энтони Леггетом получил Нобелевскую
210	соотечественником Виталием Гинзбургом и американцем	Энтони Леггетом 	получил Нобелевскую премию по физике за
211	интервью рассказывает доктор психологических наук	Ольга Карабанова 	заведующая кафедрой возрастной психологии факультета психологии
212	годов которые проводили выдающиеся археологи	Артемий Арциховский 	и Валентин Седов открыли площадку диаметром
213	выдающиеся археологи Артемий Арциховский и	Валентин Седов 	открыли площадку диаметром в 21 метр
214	Впрочем позже другие археологи петербуржец	Лев Клейн 	и новгородец Владимир Конецкий заявили что
215	культ которого установил на Руси	Владимир Святославич княжение которого начиналось именно с Новгорода. Естественно издавна считалось что именно в Перыни было главное капище Перуна. Раскопки 1940-1950-х годов которые проводили выдающиеся археологи Артемий Арциховский и Валентин Седов открыли площадку диаметром в 21 метр окруженную рвом в 5-7 метров шириной и в метр глубиной с лунками в которых были найдены угли. В центре площадки нашлась и яма от большого столба идола Перуна . Исследователи даже составили графическую реконструкцию капища. Впрочем позже другие археологи петербуржец Лев Клейн и новгородец Владимир Конецкий 	заявили что найдено отнюдь не капище
216	. Однако в 1939 году	Владимир Богусевич 	и Александр Строков смогли показать что
217	1939 году Владимир Богусевич и	Александр Строков 	смогли показать что в 1671 году
218	рубрике Как получить Нобелевку .	Оуэн Уилланс Ричардсон 	Родился 26 апреля 1876 года Дьюсбери
219	И со стипендией которая позволила	Ричардсону 	не просто учиться а учиться и
220	нобелиата началась с Джей-Джея знаменитого	Джозефа Джона Томсона 	воспитавшего cуммарно девять нобелевских лауреатов включая
221	лауреатов включая его собственного сына		воспитавшего cуммарно девять нобелевских лауреатов включая
222	получить Нобелевку . Оуэн Уилланс	Ричардсон 	Родился 26 апреля 1876 года Дьюсбери
223	с другими студентами будущими нобелиатами	Эрнестом Резерфордом 	Чарльзом Вильсоном будущим докторантом Пьера Кюри
224	студентами будущими нобелиатами Эрнестом Резерфордом	Чарльзом Вильсоном 	будущим докторантом Пьера Кюри а потом
225	Резерфордом Чарльзом Вильсоном будущим докторантом	Пьера Кюри 	а потом и любовником Марии Кюри
226	Кюри а потом и любовником		а потом и любовником Марии Кюри
227	потом и любовником Марии Кюри	Полем Ланжевеном 	. Невероятная концентрация физического интеллекта В
228	с Джей-Джея знаменитого Джозефа Джона	Томсона	воспитавшего cуммарно девять нобелевских лауреатов включая
229	быть точнее на платиновых. Идея	Ричардсона 	была простой нагревание электродов увеличивает кинетическую
230	одна вышла замуж за математика	Освальда Веблена 	вторая за ассистента Ричардсона физика Клинтона
231	вторая за ассистента Ричардсона физика	Клинтона Дэвиссона 	. В Принстоне Ричардсон провел восемь
232	половине XX века станет академик	Геннадий Месяц 	. В США будущий нобелиат показал
233	только по термионике. Как только	Нильс Бор 	создал свою теорию атома Ричардсон подтвердил
234	поверхности освещенной ультрафиолетом проверяя расчеты	Эйнштейна 	по фотоэффекту. Нобелевской премии за термионику
235	с другими студентами будущими нобелиатами	Эрнестом Резерфордо	м Чарльзом Вильсоном будущим докторантом Пьера
236	студентами будущими нобелиатами Эрнестом Резерфордом	Чарльзом Вильсоно	м будущим докторантом Пьера Кюри а
237	специалисте по физике твердого тела	Генриетте Руп 	. Супруга животноводство и исследования структуры
238	лонг-лист премии Просветитель есть труд	Алексея Водовозова 	Пациент Разумный который представляет собой не
239	аппаратуры мне очень нравится фраза	Сергея Белкова 	о том что он может найти
240	ничего не изменилось со времен	Дидро 	. Без вариантов. Самый высокий из
241	о химии. Вот уже упомянутый		о том что он может найти
242	зоне просвещения очень важна подача.	Маркова 	Попова и иже с ними будут
243	просвещения очень важна подача. Маркова	Попова 	и иже с ними будут слушать
244	есть такие мастера слова типа	Сурдина 	или Дробышевского которые и рассказывают хорошие
245	мастера слова типа Сурдина или	Дробышевского 	которые и рассказывают хорошие вещи но
246	как он путешествовал переписывался с	Карлом Линнеем 	чуть не стал секретарем Вольтера и
247	Линнеем чуть не стал секретарем	Вольтера 	и собрал 34 огромных ящика гербариев
248	Дух Просвещения и ботаническая клептомания	Филибер 	родился 18 ноября 1727 года в
249	какую-то роль в увлечении юного	Коммерсона 	ихтиологией а вот ботанические экскурсии начались
250	какую-то роль в увлечении юного	Коммерсона	ихтиологией а вот ботанические экскурсии начались
251	сад университета. Созданный французским ботаником	Пьером Рише де Белльвалем 	он до сих пор не только
252	ботанического сада. Правда в итоге	Коммерсону 	простили все его шалости профессора видели
253	трав. Впоследствии Филибер отзывался о	Вольтере 	как о человеке с хитрым взглядом
254	сердце многосердечное растение и бессердечный	Ламарк 	В тридцать лет Коммерсон все еще
255	как он путешествовал переписывался с	Карлом Линнеем чуть не стал секретарем Вольтера и собрал 34 огромных ящика гербариев со всего мира а его служанка стала первой женщиной совершившей кругосветное путешествие рассказываем в рубрике История науки . Дух Просвещения и ботаническая клептомания Филибер родился 18 ноября 1727 года в семье нотариуса и советника князя французской провинции под названием Домб сейчас она входит в департамент Эн в маленькой коммуне в 40 километрах к северу от Лиона. Домб долго отстаивал свою самостоятельность оставаясь гордым анклавом посреди королевских земель. Его владельцы герцоги Монпансье чеканили там собственные монеты. Правда в 1682 году Анна Мария Луиза Орлеанская передала его Луи Огюсту де Бурбону в обмен на свободу для своего любовника Лозена. Однако в XVIII веке на его территорию провинции все еще не распространялась юрисдикция французской цензуры поэтому она была центром книгопечатания. Современный Домб. В Домбе и поныне есть очень много прудов богатых рыбой. Неизвестно сыграло ли это какую-то роль в увлечении юного Коммерсона ихтиологией а вот ботанические экскурсии начались именно на родине когда Филибер оканчивал свой коллеж так называется промежуточная ступенька между средней школой и университетом во Франции . Высшее образование Коммерсон получил на медицинском факультете Университета Монпелье старейшем медицинском факультете Франции по количеству обучавшихся там придворных докторов обгонявшем даже Сорбонну. Там же на медицинском факультете когда-то учился великий французский гуманист и сатирик писатель Франсуа Рабле. Но Коммерсона больше всего привлекал ботанический сад университета. Созданный французским ботаником Пьером Рише де Белльвалем он до сих пор не только имеет научную ценность но и показывает посетителям больше двух тысяч видов растений со всех уголков земного шара. Студент редко мог удержаться от искушения чтобы не стащить оттуда какое-нибудь редкое растение или плод за что его преподаватель ботаники тогда эта дисциплина подробно изучалась на медицинских факультетах запретил ему входить на территорию ботанического сада. Правда в итоге Коммерсону простили все его шалости профессора видели какие незаурядные способности он проявлял к этой науке. Ботанику Филибер предпочел медицине выбрав вместо взаимодействия со своенравными пациентами высмеянными в последней комедии Мольера постепенное познание мира. Получив диплом он отправился собирать гербарии в Севенны потом в Савой а затем и в Швейцарию где навестил жившего в уединении Вольтера в Ферне. Знаменитый фернейский отшельник не только принял его у себя в гостях но и ни много ни мало предложил молодому ботанику стать его секретарем. Но Коммерсон отказался предпочтя жизни с великим деятелем эпохи Просвещения свободу бродяги и собирание трав. Впоследствии Филибер отзывался о Вольтере как о человеке с хитрым взглядом пройдохи подверженном ночным кошмарам. Разбитое сердце многосердечное растение и бессердечный Ламарк В тридцать лет Коммерсон все еще финансово зависел от родителей. Но поскольку они могли себе позволить содержать взрослого сына он не сильно переживал по этому поводу. Он создал в родном городе ботанический сад и ездил по всем ботаническим садам региона переписываясь с их владельцами и обмениваясь семенами. Известность пришла к Коммерсону после того как сам Карл Линней 	поручил ему систематизировать и описать морские
256	сестра приходского священника. Свадьба заставила	Филибера 	немного остепениться осесть в маленькой деревушке
257	так как было равнодушно заменено	Ламарком 	на Polycardia phyllantoides родовое название переводится
258	затворничества Коммерсона вызволил молодой астроном	Жером де Лалланд 	делавший в Париже головокружительную научную карьеру.
259	вызволил молодой астроном Жером де	Лалланд 	делавший в Париже головокружительную научную карьеру.
260	решил жениться. Его избранницей стала	Антуанетта Бо сестра приходского священника. Свадьба заставила Филибера немного остепениться осесть в маленькой деревушке в коммуне Тулон-сюр-Арру и стать там сельским врачом. Но через два года после брака любимая жена умерла при родах. Чтобы отвлечься от своего горя Коммерсон еще больше погрузился в науку отказываясь от еды и изнуряя себя работой по 15-20 часов в сутки. Никогда не имевший склонности к ведению хозяйства и воспитанию детей он меньше всего хотел посвящать время этим занятиям поэтому вынужден был нанять служанку Жанну из семьи поденщиков которая еще сыграет в нашем повествовании не последнюю роль . Кстати несмотря на приверженность науке Коммерсон за всю жизнь не опубликовал ни одной работы не от лени а из-за перфекционизма. Он мечтал довести рукописные труды до совершенства но так и не успел никто не предполагал что он погибнет в 45 лет вдали от дома на острове Маврикий. Там перед смертью он успеет немало поработать и назвать в честь жены растение Pulcheria commersonia родовое имя увековечило латинский перевод фамилии его супруги прекрасный отличный а видовое его собственной фамилии . Правда в ботанической традиции такое название не сохранилось так как было равнодушно заменено Ламарком на Polycardia phyllantoides родовое название переводится как многосердечия . А вот как Коммерсон попал на Маврикий. Звездный путь Из добровольного затворничества Коммерсона вызволил молодой астроном Жером де Лалланд делавший в Париже головокружительную научную карьеру. Коммерсон поселился в Париже недалеко от Королевского сада. Тот же Лалланд через два года убедил друга отправиться в кругосветное путешествие вместе с мореплавателем Луи Бугенвилем на двух кораблях транспорте Звезда на нем плыл Коммерсон и фрегате Ворчунья на котором путешествовал руководитель экспедиции . Переодевшись в мужчину Коммерсона сопровождала его служанка Жанна Барре. От команды женщине долгое время удалось скрываться потому что она назвалась евнухом Жаном. Однако корабельный врач кстати с самого начала возненавидевший Коммерсона писал в дневниках о подозрениях уже вскоре после отплытия. Непонятно двигала ли Жанной любовь к Коммерсону или к путешествиям и ботанике но ассистентом она оказалась весьма толковым. Сохранившиеся образцы подписей этой женщины показывают что она вовсе не была безграмотной но остается загадкой где она получила как минимум зачатки образования. По одной из версий ее мать была гугеноткой а среди гугенотов умение читать и писать встречалось чаще чем в среднем среди крестьян того времени. Кроме того Коммерсон постоянно болел и Барре ухаживала за ним. Она бесстрашно отправлялась в самые опасные экспедиции собирала образцы и таскала тяжести. Когда в Рио-де-Жанейро местные жители убили капитана корабля сразу после его сошествия на берег Коммерсон который с трудом ходил из-за раненной ноги временно принял командование. Жанна не осталась с ним а отправилась на берег где открыла новый род вьющихся растений который назвала в честь главы экспедиции Bougainvillea. Благодаря своим ярким цветкам точнее цветки у нее мелкие и белые а яркие лепестки это прицветники и способности легко размножаться черенками бугенвиллия стала популярным декоративным растением Но и сам Коммерсон несмотря на проблемы со здоровьем постоянно сходил на берег в поисках новых растений. Например только в Монтевидео и Буэнос-Айресе он открыл новые виды относящиеся к родам Capellia Geranium Collettia Ciallea Solanum Molinea Tropaeolum Aenothera Bipinnula Berberis и Eryngium а уже после его коллега Антуан де Жиссо 	описал еще один род Petunia основываясь
