	NE_num	file	genre	num_words	rubric
173	1	nplus1.ru-blog-2015-04-14-titanic.txt	Блоги	377	Общее
174	3	56042.txt	Лекции	1473	Физиология человека
175	1	73747.txt	Лекции	1207	Биология
176	2	54056.txt	Лекции	381	Общее
177	2	60777.txt	Лекции	1261	Космос
178	2	26490.txt	Лекции	808	Язык
179	8	2005_10_19_yasin_.txt	Лекции	11217	Политология
180	2	18168.txt	Лекции	1883	История
181	1	company_3dru_blog_243539.txt	Блоги	759	Технологии
182	4	35922.txt	Лекции	1199	История
183	1	2017_05_21_dialogue_.txt	Лекции	11009	Психология
184	1	company_genotek_blog_284178.txt	Блоги	1386	Физиология человека
185	7	30817.txt	Лекции	699	Математика
186	1	44266.txt	Лекции	339	Социология
187	1	78282.txt	Лекции	1106	Культура
188	4	company_misis_blog_259844.txt	Блоги	1844	Технологии
189	2	32230.txt	Лекции	1050	Физика
190	3	5776.txt	Лекции	1172	Химия
191	3	5776.txt	Лекции	1332	Биология
193	4	65582.txt	Лекции	2107	История
194	6	72254.txt	Лекции	2968	История
195	2	72760.txt	Лекции	353	Космос
196	3	2008_03_14_gelman_.txt	Лекции	12208	Политология
197	1	51496.txt	Лекции	911	Общее
198	20	company_ua-hosting_blog_273638.txt	Блоги	2786	Технологии
199	5	24974.txt	Лекции	2557	Физиология человека
200	1	65911.txt	Лекции	1435	История
201	1	company_lakhtacenter_blog_291605.txt	Блоги	950	Культура
202	2	61500.txt	Лекции	1197	Язык
203	3	71574.txt	Лекции	2601	История
204	1	nplus1.ru-blog-2015-10-13-Prime-meridian.txt	Блоги	682	Общее
205	1	2009_12_28_petchenkin_.txt	Лекции	8369	Культура
206	6	37617.txt	Лекции	3402	Экономика
207	13	2010_05_11_dissident_.txt	Лекции	14619	Социология
208	8	2005_09_06_ivanov_.txt	Лекции	8756	Культура
209	2	company_darta_systems_blog_247100.txt	Блоги	1564	Технологии
210	3	126.txt	Блоги	762	Технологии
211	3	126.txt	Блоги	653	Футурология
221	3	126.txt	Лекции	1164	История
222	3	126.txt	Лекции	988	Социология
223	3	126.txt	Лекции	1722	Общее
224	3	126.txt	Лекции	4363	Культура
225	3	126.txt	Лекции	2604	Математика
226	1	32341.txt	Лекции	291	Математика
227	4	75423.txt	Лекции	3774	История
228	2	82655.txt	Лекции	1241	История
229	1	62552.txt	Лекции	649	Культура
230	1	company_ibm_blog_287670.txt	Блоги	409	Биология
231	1	company_audiomania_blog_294769.txt	Блоги	1185	Физиология человека
232	2	company_misis_blog_262502.txt	Блоги	1708	Физика
233	1	6493.txt	Лекции	3771	Биология
234	1	11363.txt	Лекции	329	Математика
235	1	80728.txt	Блоги	3715	Computer Science
236	1	80728.txt	Лекции	1438	История
237	2	50793.txt	Лекции	1371	Общее
238	4	2010_06_07_volcano_.txt	Лекции	14552	Науки о земле
239	7	74479.txt	Лекции	3648	Психология
240	2	51382.txt	Лекции	1524	Психология
241	4	61078.txt	Лекции	1281	Экономика
242	5	75425.txt	Лекции	3203	История
243	3	nplus1.ru-blog-2015-06-22-reion.txt	Блоги	1217	Космос
244	5	2004_10_05_vodka_.txt	Лекции	6832	Культура
245	10	2014_07_10_shtern_.txt	Лекции	10494	Физика
246	7	71081.txt	Лекции	2230	Культура
247	3	25099.txt	Лекции	3295	История
248	2	58739.txt	Лекции	1682	Космос
249	1	7032.txt	Блоги	943	Общее
250	1	7032.txt	Лекции	36	История
252	2	62792.txt	Лекции	1882	История
253	2	66254.txt	Лекции	1023	Математика
254	4	50060.txt	Лекции	1089	История
255	1	24062.txt	Лекции	1951	История
256	6	2005_12_09_palmer_.txt	Лекции	6338	Общее
258	1	81008.txt	Лекции	670	Математика
259	1	49457.txt	Лекции	1341	История
260	7	59615.txt	Лекции	952	Биология
261	1	nplus1.ru-blog-2017-05-22-Cosmos.txt	Блоги	33	Общее
262	6	52420.txt	Лекции	1595	Философия
263	2	company_audiomania_blog_293389.txt	Блоги	1295	Физиология человека
264	1	54372.txt	Лекции	285	Биология
265	1	41691.txt	Лекции	926	Философия
266	1	company_audiomania_blog_283606.txt	Блоги	212	Технологии
267	10	company_pult_blog_292365.txt	Блоги	2313	Технологии
268	1	80213.txt	Лекции	1408	Культура
269	2	55218.txt	Лекции	1123	Язык
270	2	72417.txt	Лекции	594	Космос
271	1	26226.txt	Лекции	129	Химия
272	2	22202.txt	Лекции	3403	Язык
273	2	77488.txt	Лекции	2150	Биология
274	3	company_pult_blog_295827.txt	Блоги	1170	Физика
275	7	2013_04_12_caturyan_.txt	Лекции	6225	Физиология человека
276	3	65229.txt	Лекции	1277	История
277	2	53807.txt	Лекции	319	Физиология человека
278	2	37996.txt	Лекции	354	Философия
279	2	17192.txt	Лекции	3078	История
280	1	73043.txt	Лекции	593	Математика
281	2	59652.txt	Лекции	980	Психология
282	1	23384.txt	Лекции	2852	Физиология человека
283	6	2010_07_01_zalizniak_.txt	Лекции	12768	Язык
284	2	72335.txt	Лекции	1462	История
285	3	company_audiomania_blog_292507.txt	Блоги	1465	Физиология человека
286	4	29142.txt	Лекции	1389	Культура
287	2	nplus1.ru-blog-2017-02-27-Claustrum.txt	Блоги	403	Биология
288	1	6376.txt	Лекции	35	Экономика
289	1	6376.txt	Лекции	2040	История
290	9	company_pult_blog_295327.txt	Блоги	1597	Технологии
291	3	81407.txt	Лекции	2278	Психология
292	1	42221.txt	Лекции	1293	Социология
293	5	77112.txt	Лекции	3099	Экономика
294	1	company_asus_blog_291079.txt	Блоги	1161	Общее
295	1	company_atlas_blog_251440.txt	Блоги	2524	Общее
296	1	company_ua-hosting_blog_244191.txt	Блоги	999	Технологии
297	9	2008_05_07_miller_.txt	Лекции	12057	Политология
298	4	67403.txt	Лекции	1005	Культура
299	2	78721.txt	Лекции	4157	Физиология человека
300	2	54464.txt	Лекции	315	Физиология человека
302	1	64428.txt	Лекции	1113	Экономика
303	1	company_mailru_blog_289299.txt	Блоги	1140	Общее
304	2	2006_10_18_kristi_.txt	Лекции	7037	Социология
305	1	81297.txt	Лекции	1729	Биология
306	1	41671.txt	Лекции	1521	История
307	5	84.txt	Блоги	1219	Физиология человека
308	5	84.txt	Блоги	646	Технологии
309	5	84.txt	Блоги	955	Общее
310	5	84.txt	Блоги	1015	Технологии
311	5	84.txt	Блоги	61	Космос
383	5	84.txt	Блоги	76	Общее
384	5	84.txt	Лекции	1312	Психология
385	5	84.txt	Лекции	1739	Физиология человека
386	5	84.txt	Лекции	1247	Физика
387	5	84.txt	Лекции	1259	Социология
388	5	84.txt	Лекции	285	Культура
389	5	84.txt	Лекции	1559	Биология
390	5	84.txt	Лекции	1886	Физиология человека
391	5	84.txt	Лекции	1208	Физиология человека
392	5	84.txt	Лекции	1634	Экономика
393	5	84.txt	Лекции	1100	Математика
394	5	84.txt	Лекции	1181	История
395	5	84.txt	Лекции	1013	Биология
396	5	84.txt	Лекции	1312	История
397	5	84.txt	Лекции	258	Физиология человека
398	5	84.txt	Лекции	365	Язык
399	5	84.txt	Лекции	201	Физика
400	5	84.txt	Лекции	1272	Физиология человека
401	5	84.txt	Лекции	1024	Язык
402	5	84.txt	Лекции	966	Биология
403	5	84.txt	Лекции	215	Физика
404	5	84.txt	Лекции	327	Экономика
405	5	84.txt	Лекции	302	Язык
406	5	84.txt	Лекции	182	История
407	5	84.txt	Лекции	240	Биология
408	5	84.txt	Лекции	1203	Физика
409	5	84.txt	Лекции	35	Экономика
410	5	84.txt	Лекции	39	Биология
411	5	84.txt	Лекции	276	Космос
412	5	84.txt	Лекции	2619	Социология
413	5	84.txt	Лекции	680	Химия
414	5	84.txt	Лекции	1564	Биология
415	5	84.txt	Лекции	1524	Психология
416	5	84.txt	Лекции	551	Биология
417	5	84.txt	Лекции	514	Физика
418	5	84.txt	Лекции	1419	Язык
419	5	84.txt	Лекции	1168	Космос
420	5	84.txt	Лекции	669	Физиология человека
421	5	84.txt	Лекции	235	Язык
422	5	84.txt	Лекции	315	Физиология человека
423	5	84.txt	Лекции	721	Общее
424	5	84.txt	Лекции	2852	Физиология человека
425	5	84.txt	Лекции	3040	Математика
426	5	84.txt	Лекции	2909	Биология
427	5	84.txt	Лекции	3611	Язык
428	5	84.txt	Лекции	3834	История
429	5	84.txt	Лекции	3061	Культура
430	5	84.txt	Лекции	2556	История
431	5	84.txt	Лекции	1702	История
432	5	84.txt	Лекции	1634	Химия
433	5	84.txt	Лекции	841	Общее
434	1	67879.txt	Лекции	463	Язык
435	1	nplus1.ru-blog-2016-12-30-false-memories.txt	Блоги	1844	Психология
436	4	27838.txt	Лекции	4393	Экономика
437	1	37962.txt	Лекции	334	Социология
438	4	company_audiomania_blog_282376.txt	Блоги	938	Физиология человека
439	1	61565.txt	Лекции	2082	История
440	3	company_madrobots_blog_293169.txt	Блоги	671	Общее
441	2	nplus1.ru-blog-2015-04-16-italian-trattoria.txt	Блоги	358	Общее
442	7	2006_07_28_podoroga_.txt	Лекции	9552	Культура
443	20	2005_01_11_auzan_.txt	Лекции	15239	Социология
444	8	71083.txt	Лекции	3113	История
445	1	54236.txt	Лекции	421	История
446	6	company_mailru_blog_293467.txt	Блоги	1698	Общее
448	1	70626.txt	Лекции	1312	Биология
450	1	50350.txt	Лекции	1096	Общее
451	1	nplus1.ru-blog-2017-06-07-apollos-traces.txt	Блоги	53	Общее
452	2	46563.txt	Лекции	1076	Культура
453	4	65224.txt	Лекции	1588	Общее
454	3	61502.txt	Лекции	1237	Биология
455	5	60525.txt	Лекции	3071	Культура
456	11	71967.txt	Лекции	5318	История
457	2	nplus1.ru-blog-2015-07-10-stuff-in-space.txt	Блоги	227	Космос
458	1	nplus1.ru-blog-2015-04-08-superconductivity.txt	Блоги	310	Общее
459	9	nplus1.ru-blog-2017-06-15-Broken-hill.txt	Блоги	2066	Биология
460	1	47208.txt	Лекции	1120	Культура
461	8	36418.txt	Лекции	1732	Физиология человека
462	10	75424.txt	Лекции	5372	История
463	1	64252.txt	Лекции	1255	Физика
464	4	company_ua-hosting_blog_264756.txt	Блоги	3811	Технологии
465	8	2009_08_13_pokojanije_.txt	Лекции	10195	Общее
466	3	50655.txt	Лекции	731	Физика
467	3	78618.txt	Лекции	1495	Биология
469	2	76482.txt	Лекции	1085	Космос
470	1	69888.txt	Лекции	381	Физика
471	2	29811.txt	Лекции	1100	Социология
472	1	27769.txt	Лекции	2428	Биология
473	6	51485.txt	Лекции	5837	Общее
474	2	70895.txt	Лекции	1023	Физиология человека
475	1	44431.txt	Лекции	1153	Математика
476	1	nplus1.ru-blog-2016-11-14-seasonal-affective-disorder.txt	Блоги	1392	Психология
477	2	34939.txt	Лекции	2378	Физика
478	4	74474.txt	Лекции	3285	Математика
479	1	37506.txt	Лекции	2548	История
480	4	63229.txt	Лекции	1707	История
481	1	61097.txt	Лекции	2033	Биология
482	2	37965.txt	Лекции	256	Философия
483	1	company_mailru_blog_252388.txt	Блоги	746	Биология
484	4	75989.txt	Лекции	1529	Социология
485	2	40306.txt	Лекции	3314	Биология
486	3	2007_04_19_nacija_.txt	Лекции	12989	История
487	3	79873.txt	Лекции	1380	Физиология человека
488	1	36221.txt	Лекции	314	Математика
489	3	83417.txt	Лекции	1210	Культура
490	2	23452.txt	Лекции	3210	Общее
492	1	81694.txt	Лекции	1669	Социология
493	3	76343.txt	Лекции	2249	Психология
495	1	67374.txt	Лекции	397	Биология
496	3	31192.txt	Лекции	2521	Язык
497	1	30659.txt	Лекции	2117	Язык
498	1	75428.txt	Лекции	2201	Физиология человека
499	1	81965.txt	Лекции	1729	Социология
500	12	2007_09_17_ivanov_.txt	Лекции	10859	Психология
501	1	77485.txt	Лекции	3812	Физика
502	1	30599.txt	Лекции	384	Математика
503	3	82082.txt	Лекции	1134	Физиология человека
504	7	2010_06_18_markov_.txt	Лекции	10637	Биология
505	5	company_mailru_blog_280728.txt	Блоги	3715	Computer Science
506	2	nplus1.ru-blog-2016-11-07-man-and-woman.txt	Блоги	1033	Общее
507	2	company_audiomania_blog_252826.txt	Блоги	490	Технологии
508	3	48478.txt	Лекции	1290	Культура
509	3	38005.txt	Лекции	1601	Культура
511	2	77576.txt	Лекции	1187	История
512	13	2016_08_27_chalisova_lecture_.txt	Лекции	7455	Культура
513	1	22244.txt	Лекции	2524	Общее
514	10	2007_06_28_dogovor2008_.txt	Лекции	18346	Социология
515	1	73758.txt	Лекции	1221	Физика
516	2	2009_07_09_shanin_.txt	Лекции	4292	Социология
517	1	company_piter_blog_271224.txt	Блоги	1927	Космос
518	8	2012_05_18_Partee_.txt	Лекции	8108	Язык
519	1	61489.txt	Лекции	1519	История
520	1	company_forma_blog_286350.txt	Блоги	1183	Общее
521	1	77548.txt	Лекции	1700	Космос
522	4	nplus1.ru-blog-2016-11-12-physicists-against-mathematics.txt	Блоги	837	Физика
523	1	32976.txt	Лекции	443	Язык
524	1	81478.txt	Лекции	1729	Биология
525	1	36273.txt	Лекции	2449	Язык
526	3	company_dronk_blog_275390.txt	Блоги	1624	Физика
527	1	2015_12_02_russian_america_.txt	Лекции	396	История
528	42	2014_03_30_lecture_bufetov_.txt	Лекции	10878	Математика
529	3	45456.txt	Лекции	1557	История
530	11	2006_05_18_auzan_.txt	Лекции	13843	Социология
531	1	2015_05_21_zakharov_video_.txt	Лекции	42	Общее
532	1	17548.txt	Лекции	4062	Экономика
533	1	nplus1.ru-blog-2017-02-02-astroprognosis-2017-02feb.txt	Блоги	66	Общее
534	2	67401.txt	Лекции	1566	Общее
535	6	2013_12_01_dibo_.txt	Лекции	6779	Язык
536	2	75426.txt	Лекции	1705	Физиология человека
537	2	2009_04_17_principes_.txt	Лекции	4093	Социология
538	2	16214.txt	Лекции	1576	Язык
539	1	2007_12_13_plusnin_.txt	Лекции	6090	Социология
540	7	2010_04_08_byzantine_.txt	Лекции	6698	Культура
541	2	nplus1.ru-blog-2015-04-15-solution.txt	Блоги	366	Общее
542	3	43675.txt	Лекции	1797	Философия
543	1	72328.txt	Лекции	1021	Психология
546	1	2528.txt	Лекции	204	Социология
547	1	2528.txt	Лекции	34	Биология
548	2	nplus1.ru-blog-2017-06-01-popmusic-complexity.txt	Блоги	461	Общее
549	16	2016_04_24_korea_.txt	Лекции	13996	Общее
550	4	company_icover_blog_264434.txt	Блоги	1264	Биология
551	4	33773.txt	Лекции	1378	История
552	1	14262.txt	Лекции	4996	История
553	1	company_audiomania_blog_274793.txt	Блоги	601	Космос
554	1	8662.txt	Лекции	315	История
555	1	8662.txt	Лекции	1172	Биология
556	7	73466.txt	Лекции	1122	Математика
557	1	26590.txt	Лекции	1855	История
558	1	41523.txt	Лекции	537	Космос
559	1	company_ibm_blog_277964.txt	Блоги	616	Computer Science
560	1	73598.txt	Блоги	924	Биология
561	1	73598.txt	Лекции	677	История
562	1	55161.txt	Лекции	635	Космос
563	1	company_moonmodule_blog_286396.txt	Блоги	1423	Космос
564	1	63696.txt	Лекции	1277	Общее
565	1	8569.txt	Лекции	1258	История
566	3	57128.txt	Лекции	1180	Физика
568	2	80244.txt	Лекции	1393	Биология
569	6	company_piter_blog_290513.txt	Блоги	1293	Физиология человека
570	3	19348.txt	Лекции	1573	Культура
571	1	68124.txt	Лекции	1181	Философия
572	2	22066.txt	Лекции	1662	Общее
573	4	20681.txt	Лекции	4593	Экономика
574	1	company_vertdider_blog_285654.txt	Блоги	62	Физика
575	3	22587.txt	Лекции	1838	Социология
576	1	2004_11_18_slipch_.txt	Лекции	11071	Социология
577	1	nplus1.ru-blog-2017-05-11-jupiters-way-2017.txt	Блоги	61	Общее
578	4	79568.txt	Лекции	1033	Космос
579	1	73055.txt	Лекции	2411	Физиология человека
580	1	company_vertdider_blog_251748.txt	Блоги	54	Биология
581	2	75909.txt	Лекции	1765	Язык
582	1	70683.txt	Лекции	1962	Психология
583	1	51201.txt	Лекции	1255	История
584	6	2010_12_15_ukraina_.txt	Лекции	14586	Социология
585	1	51026.txt	Лекции	1279	Космос
586	1	34413.txt	Лекции	322	Биология
587	1	74471.txt	Лекции	916	Культура
588	1	company_vertdider_blog_282260.txt	Блоги	56	Физиология человека
589	1	65819.txt	Лекции	1837	Социология
590	1	32658.txt	Лекции	1745	Культура
591	2	54185.txt	Лекции	3976	Культура
592	2	33212.txt	Лекции	1848	Физиология человека
593	2	company_lenovo_blog_279876.txt	Блоги	652	Computer Science
594	2	75486.txt	Лекции	1844	История
595	4	2008_10_21_fincrisis_.txt	Лекции	5710	Общее
596	5	2784.txt	Лекции	3834	История
597	1	50619.txt	Лекции	656	Физика
598	1	73757.txt	Лекции	1676	Химия
599	2	1472.txt	Блоги	123	Физика
600	2	1472.txt	Лекции	333	Культура
601	1	2015_10_21_anons_braginskaya_.txt	Лекции	229	История
602	4	2006_05_26_abramkin_.txt	Лекции	10187	Социология
603	7	43657.txt	Лекции	2360	Социология
604	2	65281.txt	Лекции	1537	Философия
605	2	2733.txt	Лекции	3028	История
606	1	73742.txt	Лекции	1171	Биология
607	1	55219.txt	Лекции	1304	История
608	1	2015_04_05_caucasus_.txt	Лекции	12063	Философия
609	3	company_medgadgets_blog_251742.txt	Блоги	1350	Технологии
610	1	nplus1.ru-blog-2017-05-18-offspring-phd.txt	Блоги	578	Общее
611	8	2009_05_21_econom_.txt	Лекции	11196	Экономика
612	1	company_misis_blog_286200.txt	Блоги	220	Computer Science
613	1	51376.txt	Лекции	1014	Физика
614	3	70929.txt	Лекции	3872	Космос
615	1	36577.txt	Лекции	3145	Физика
616	2	82654.txt	Лекции	1087	Культура
617	2	53519.txt	Лекции	1959	Физиология человека
619	2	1856.txt	Лекции	254	Биология
620	11	2006_03_02_pjatigorsky_.txt	Лекции	9125	Общее
621	1	15074.txt	Лекции	260	История
622	1	42395.txt	Лекции	540	Космос
623	1	69803.txt	Лекции	1383	Биология
624	1	company_hashflare_blog_272628.txt	Блоги	691	Общее
625	25	2007_12_06_auzan_.txt	Лекции	15293	Социология
626	2	55724.txt	Лекции	1156	Культура
627	1	4124.txt	Блоги	599	Технологии
628	1	4124.txt	Блоги	356	Физиология человека
629	1	4124.txt	Лекции	1325	Социология
630	1	company_vertdider_blog_241702.txt	Блоги	53	Физика
631	2	10876.txt	Лекции	1010	Культура
632	3	67966.txt	Лекции	337	Химия
633	4	13650.txt	Лекции	3738	Социология
634	3	14835.txt	Лекции	3210	Культура
635	2	24086.txt	Лекции	1337	Общее
636	2	2013_09_29_muravyov_.txt	Лекции	3406	Культура
637	2	company_pult_blog_286446.txt	Блоги	1029	Общее
638	1	61343.txt	Лекции	782	Физиология человека
639	2	42425.txt	Лекции	1264	История
640	2	77332.txt	Лекции	1698	Философия
641	5	nplus1.ru-blog-2016-11-08-crocodiles-songs.txt	Блоги	1070	Общее
642	2	company_atlasbiomed_blog_281154.txt	Блоги	504	Физиология человека
643	7	2012_04_26_rozov_.txt	Лекции	10015	Социология
644	1	55537.txt	Лекции	1205	История
645	1	29131.txt	Лекции	1294	Социология
647	5	59938.txt	Лекции	997	Философия
648	2	71883.txt	Лекции	1327	Биология
649	2	80144.txt	Лекции	1299	Общее
650	1	nplus1.ru-blog-2015-06-10-mary-lamb.txt	Блоги	248	Общее
651	2	nplus1.ru-blog-2017-04-01-spidey-wibey.txt	Блоги	714	Общее
652	1	company_piter_blog_283414.txt	Блоги	1059	Физиология человека
653	1	nplus1.ru-blog-2017-01-20-invasive.txt	Блоги	44	Биология
654	4	23794.txt	Лекции	1814	Экономика
655	1	company_madrobots_blog_291219.txt	Блоги	2107	Общее
656	1	15982.txt	Лекции	263	Культура
657	4	2006_01_25_alternatives_.txt	Лекции	10459	Социология
659	6	77486.txt	Лекции	2565	Культура
660	3	82653.txt	Лекции	1787	Язык
