	index	left_context	left_word	named_entity	right_context
92	1686	сервис Фенг Жанг Feng Zhang	Zhang	Stan Grazier	courtesy of Broad Institute communications Да
93	1877	SAM Sample A alysis a	a	Mars	предназначенный для химического анализа газов и
94	1968	посадочная платформа Surface Scie ce	ce	Pla	form которая сама по себе будет
95	1919	имена. NOMAD Nadir a d	d	Occul	a io for M Ars Discovery
96	1934	нейронный детектор FREND Fi e	e	Resolu	io Epi hermal Neu ro De
97	1926	Colour a d S ereo	ereo	Surface	Imagi g Sys em высокого разрешения
98	997	лабораторию Bioe gi eeri g	g	Labora	ory LABBIO . Участвовал в форуме
99	1928	S ereo Surface Imagi g	g	Sys	em высокого разрешения 4 5 Мп
100	1936	e Resolu io Epi hermal	hermal	Neu	ro De ec or предназначенный для
101	1935	FREND Fi e Resolu io	io	Epi	hermal Neu ro De ec or
102	1921	ультрафиолетовый спектрометр. ACS A mospheric	mospheric	Chemis	ry Sui e состоит из трех
103	1566	одной общей болезни Dementia praecox.	praecox.	Крепелин	четко обозначил что предметом психиатрии сейчас
104	1937	io Epi hermal Neu ro	ro	De	ec or предназначенный для поиска наличия
105	1965	отправится марсоход Exo Mars rover.	rover.	На	планету будет спущена посадочная платформа Surface
106	1922	ACS A mospheric Chemis ry	ry	Sui	e состоит из трех инфракрасных спектрометров.
107	1745	статье в журнале Na ure.	ure.	Скирмионы	обнаруживаются в тонких магнитных пленках и
108	530	см. соответствующие разделы в van	van	Dijk	1997a. Мы не интерпретируем дискурс как
109	1875	метане сообщил марсоход Curiosi y.	y.	На	нем установлен прибор SAM Sample A
110	1453	сдал Алексею Абрикосову . А	А	Игорю Дзялошинскому	я сдал квантовую механику. Я тогда
111	1277	своего места в науке. А	А	Елеазар Моисеевич Мелетинский	стал для меня не только учителем
112	127	Великобританию вместе с Марком Ависом	Ависом	Сарой Форб	и Шилой Фергюсон . Группа занимается
113	226	перейти к уровню числа Авогадро.	Авогадро.	Можно	ли сегодня составить дорожную карту развития
114	323	числе и российской наукой. Автор	Автор	Станислав Вавилов	
115	1706	представить в каких объемах. Академик	Академик	Револьд Энтов	на одном из семинаров сказал что
116	682	1933 года профессор университета Алабамы	Алабамы	Аллан Уолкер Блэр	взял пинцетом самку паука каракурта ее
117	298	объекты находили в Центральных Андах.	Андах.	Мэтью Причард	из Корнельского университета называет их вулканами-зомби
118	1820	подписи автора. По словам Андрея	Андрея	Костина	предположение об авторстве Ломоносова возникло после
119	1978	лишь полвека спустя в Анналах	Анналах	Тацита	14.33 . Могонтию в Лондиний В
120	468	хозяина своего законного наследника Антуана-Франсуа	Антуана-Франсуа	Филибер	сдал на попечение зятю и никогда
121	630	рельефа храма Мединет-Абу SeebeerWikipedia Археолог	Археолог	Джесси Миллек	получил премию Шона Девера за свою
122	999	вырытых в Средние века. Археологи	Археологи	Дэвид Стрэйндж-Уолкер	Джулия Кларк-Уолкер Скот Ломакс и геолог
123	283	он известен как режиссер. Архив	Архив	Куренниеми	или увидимся 2048-м Эркки Куренниеми на
124	106	Калифорнийского университета в Санта Барбаре	Барбаре	Стив Гейнс	. Меньше всего влияет на окружающую
125	608	философы XX века Жорж Батай	Батай	Жиль Делёз	и Жан Бодрийяр занимались созданием теории
126	802	лидерства. В дальнейшем Роберт Бейлз	Бейлз	Bales Robert Freed	показал что есть еще и лидер-организатор.
127	830	социальной психологии внес Мередит Белбин	Белбин	Raymond Meredith Belbin	. Он отметил что решение задачи
128	2060	а к граммофону Эмиля Берлинера	Берлинера	Emile Berliner	изобретенному в 1887 году. Первые грампластинки
129	658	В частности нейробиолог Дин Бернетт	Бернетт	Dean Burnett	в своем блоге в газете The
130	663	ведущий автор исследования Поль Бехер	Бехер	Paul Becher	из Шведского института сельскохозяйственных наук. Это
131	295	Katrin Wolf-Schwenniger и Гюнтер Бехли	Бехли	Günter Bechly	. Их статья опубликована в журнале
132	1721	лучше иллюстрирует этот тезис. Биографию	Биографию	Осуми	нельзя назвать насыщенной экстраординарными событиями. Он
133	955	начала 20 века Ясперса Блейлера	Блейлера	Бинсвангера	. Сыграли в этом роль также
134	1702	Лэхи Р. Талейархан Р. Блок	Блок	К. Вест	большой статье в авторитетнейшем журнале Успехи
135	303	голода. Как установили Джулия Бомон	Бомон	Julia Beaumont	из Брэдфордского университета и Джанет Монтгомери
136	424	проявлял к этой науке. Ботанику	Ботанику	Филибер	предпочел медицине выбрав вместо взаимодействия со
137	41	Саймон Конвей Моррис Дерек Бриггс	Бриггс	Дэвид Брутон	Крис Хьюз все они изучали разных
138	981	в Нью-Йоркском университете Стони Брук	Брук	Самсон Шаташвили	директор Института имени Гамильтона Тринити-колледжа в
139	42	Моррис Дерек Бриггс Дэвид Брутон	Брутон	Крис Хьюз	все они изучали разных животных из
140	105	менеджер в океанариуме Монтерей Бэй	Бэй	Райан Бигелоу	. Авторы исследования изучили мировые запасы
141	1562	что паранойю впервые выделил Валентин	Валентин	Маньян	однако еще за двадцать лет до
142	1394	основе концептуального аппарата социологии. Введенное	Введенное	Максом Вебером	в монументальном труде Хозяйство и общество
143	1171	Гильберта такие как Герман Вейль	Вейль	Джон фон Нейман	и Эрнст Цермело стали ведущими математиками
144	356	соавтор профессор МИСиС Юрий Векилов	Векилов	Абрикосов	был замечательным человеком и отличным преподавателем
145	1845	объединения. Руководили работой Рихард Виллемс	Виллемс	Richard Villems	Эстонский биоцентр и Институт молекулярной и
146	661	исследователи под руководством Питера Вицгалля	Вицгалля	Peter Witzgall	из Шведского университета сельскохозяйственных наук самки
147	885	Булгаков и Франк . Влияние	Влияние	Булгакова	на некоторых теологов-иезуитов изучает специалист из
148	1365	ее основным опорным пунктом. Вначале	Вначале	Ядов	и Фирсов работали в ленинградских секторах
149	1799	теменной доли мозга . Возможно	Возможно	Эйнштейн	был гением потому что имел необычно
150	293	музея естественной истории Карин Вольф-Швеннингер	Вольф-Швеннингер	Katrin Wolf-Schwenniger	и Гюнтер Бехли Günter Bechly .
151	484	бродяги и собирание трав. Впоследствии	Впоследствии	Филибер	отзывался о Вольтере как о человеке
152	541	сделал голландский ученый-лувист Фред Вудхойзен	Вудхойзен	Fred Woudhuizen	работающий с Занггером . Лувийский язык
153	1006	признана во всем мире. Выступление	Выступление	Андрея Хазина	в Театре намеченное на 7 декабря
154	1659	сопоставимую с ее собственной. Вычисление	Вычисление	Хокинга	верно когда масса черной дыры велика
155	901	стали астрономами. Заместитель директора ГАИШ	ГАИШ	Сергий Ламзин	мой друг еще по школьной скамье
156	1122	труда мог воспользоваться физик. Геометрия	Геометрия	Римана	представляла собой хаос с множеством функций
157	299	хотя должны быть мертвы. Геофизик	Геофизик	Ян Хэмлинг	Ian Hamling из института GNS Science
158	1199	игре не шла. Письмо Гильберту	Гильберту	Эйнштейн	начал с фразы у нас произошла
159	1370	хрестоматийном труде 1992 г. Гипотеза	Гипотеза	Брубейкера	состояла в следующем. Политическая история Франции
160	108	Даже совсем пожилой Рой Глаубер	Глаубер	Roy Glauber	американский физик лауреат Нобелевской премии по
161	1556	психиатры Филип Пинель Джон Гослэм	Гослэм	Жан-Этьен Эскироль	стали называть деменцией или слабоумием. В
162	87	при изготовлении большого тиража. Граммофоны	Граммофоны	Берлинера	стали пользоваться популярностью и в 1895
163	1668	профессор Амстердамского университета Франс Грейзенхаут	Грейзенхаут	Frans Grijzenhout	нашел это место и настолько убедительно
164	222	создание молекулярных машин. Например Гросберг	Гросберг	Нечаев	Шахнович одними из первых предположили создание
165	1353	авторы Михаил Соколов Катерина Губа	Губа	Татьяна Зименкова	Софья Чуйкина и Мария Сафонова серия
166	325	организаторов премии имени Гарри Гудини	Гудини	Александр Панчин	. Для чего была создана премия
167	1274	независимо пришли американцы Геральд Гуральник	Гуральник	Карл Хаген	и англичанин Томас Киббл . Идея
168	2044	остроумно выразился ученый С.К. Далсгард	Далсгард	S.C. Dalsgaard	из университета в Оденсе имеющий отношение
169	1476	прочно ассоциируются с предшественником Дарвина	Дарвина	Жаном Батистом Ламарком	использование и неиспользование и наследование приобретенных
170	1074	Основываясь на базовых тезисах Джекобс	Джекобс	Лукас	объявил мультипликативный эффект возникающий благодаря кластеризации
171	2013	он тоже является человеком. Для	Для	Тьюринга	всё сводилось именно к поведению машины
172	1080	взрывной вид экономического роста. Для	Для	Джекобс	как и для Шумпетера этот вид
173	950	психиатрам конечно нашлась работа. Для	Для	Лэйнга	антипсихиатрическая деятельность началась с того что
174	1734	выбирайте самый простой объект. До	До	Осуми	аутофагию пытались изучать на мышах культурах
175	1495	таблица появились не сразу. До	До	Менделеева	было множество ошибочных теорий. Например триады
176	1479	случаи ности ничтожно малы. Довод	Довод	Докинза	о внеземнои жизни вневременное утверждение о
177	1981	трое специально приглашенных докладчиков. Доклад	Доклад	Алессандро Москитти	Катарский вычислительный исследовательский институт Университет Хамад
178	152	репродуктологии присудили ученому из Египта	Египта	Ахмеду Шафику	. Жюри отметили сразу две его
179	1471	она развивалась на деле. Если	Если	Докинз	прав а я думаю что он
180	1685	предсказание в сервис Фенг Жанг	Жанг	Feng Zhang	Stan Grazier courtesy of Broad Institute
181	643	врачей под руководством Сяопина Жэня	Жэня	Xiaoping Ren	из Харбинского медицинского университета. Как сообщает
182	2068	Вместе с этим доступны Запись	Запись	Томаса Янга	Курс лекций натурфилософии и механических искусств
183	2024	важность внутриклеточной генеральной уборки. Заслуга	Заслуга	Ёсинори Осуми	состоит в том что он детально
184	350	с магнитным моментом ядра. Затем	Затем	Абрикосов	перешел к исследованию теории сверхпроводимости начатой
185	1472	телеология целенаправленность жизни на Земле	Земле	Дарвин	показал чем еще она может объясняться.
186	730	и многих людей на Земле.	Земле.	Стивен Хокинг	получил первоклассное образование в Оксфордском университете
187	1354	Соколов Катерина Губа Татьяна Зименкова	Зименкова	Софья Чуйкина	и Мария Сафонова серия История науки
188	1687	лечить болезни сетчатки глаза. И	И	Синья Яманака	нобелевский лауреат первооткрыватель метода получения индуцированных
189	640	По словам исследователя Сатоси Иде	Иде	Satoshi Ide	сами по себе полученные результаты не
190	794	уважения среди членов группы. Идеи	Идеи	Фидлера	остаются актуальными как с точки зрения
191	1084	экономического роста. Быстрее быстрее Идеи	Идеи	Джекобс	иллюстрируют то каким образом место влияет
192	603	ложности эволюцию научных теорий. Идеи	Идеи	Поппера	упоминал сам Ричард Докинз в Эгоистичном
193	385	быть точнее на платиновых. Идея	Идея	Ричардсона	была простой нагревание электродов увеличивает кинетическую
194	1604	передающий текущие котировки акций. Изобретен	Изобретен	Томасом Эдисоном	в 1869 году. Специальная пишущая машинка
195	47	разработал американский специалист из Иллинойса	Иллинойса	Дэвид Суоффорд	. Среди эволюционистов Суоффорд известен не
196	851	предпосылок старались развивать философию Ильенков	Ильенков	Лифшиц	Мамардашвили шестидесятники Мотрошилова Эрих Соловьев .
197	742	Крик и Джеймс Уотсон Имена	Имена	Френсиса Крика	и Джеймса Уотсона неразрывно вошли в
198	796	тех или иных условиях. Именно	Именно	Фидлер	впервые объяснил то что нам кажется
199	797	сделать капитана футбольной команды. Имя	Имя	Фидлера	сегодня часто вспоминают именно в контексте
200	265	в создании электронной музыки. Искусствовед	Искусствовед	Саймон Рейнолдс	дал интересную оценку личности Куренниеми назвав
201	665	социальных наук НИУ ВШЭ. Исследование	Исследование	Абрамова	показало что инженеры ориентированы на обмен
202	1540	Металлические гульфики XVI век Исследование	Исследование	Миллер	позволяет предположить что стручок был не
203	1436	мигрантов в немецком обществе. Историк	Историк	Рауль Хилберг	высказался о том что Холокост является
204	170	книги Быть зверем . История	История	Томаса Твейтса	являет собой воплощение классического кафкианского сюжета
205	748	занятия и научную работу. История	История	Джеймса Уотсона	впечатляет еще больше. В возрасте всего
206	286	копией в 2048-м году. Итог	Итог	Эркки Йоханнес Куренниеми	умер 1-го мая 2017 года в
207	278	американского композитора Манфорда Л. Итона	Итона	Куренниеми	создаёт ещё один инструмент DIMI-S более
208	1267	немцем а швейцарским евреем. Как	Как	Эйнштейн	выразился в статье Times вскоре после
209	645	Вене итальянский нейрохирург Серджио Канаверо	Канаверо	Sergio Canavero	. Канаверо говорит о намерении пересадить
210	928	своих воспоминаниях например Фритьоф Капра	Капра	Лэйнг	проник глубоко в переживания своих больных.
211	252	на идеи другого ученика Кастелли	Кастелли	Бонавентуры Кавальери	. Много внимания ученый уделял геометрическим
212	291	членистоногих Клемсонского университета Майкл Катерино	Катерино	Michael S. Caterino	а также сотрудники Штутгартского музея естественной
213	1990	доклад Ольги Федоровой Андрея Кибрика	Кибрика	Николая Коротаева	Аллы Литвиненко и Юлии Николаевой .
214	747	аспирантуру Колледжа Гонвилла и Киза.	Киза.	Крик	также занимался многочисленными лабораторными исследованиями и
215	1001	Археологи Дэвид Стрэйндж-Уолкер Джулия Кларк-Уолкер	Кларк-Уолкер	Скот Ломакс	и геолог Тони Уолтхэм представляет археологические
216	625	или Прошлое в настоящем Книга	Книга	Александра Пиперски	Конструирование языков от эсперанто до дотракийского
217	1628	потонули в политическом скандале. Книгу	Книгу	Зимина	впрочем он все-таки издал в 2006
218	1450	признакам. Об увлечении ДНК Книжка	Книжка	Шрёдингера	была решающим моментом. Хотя в Физтехе
219	30	древнейших ископаемых - трилобитов. Когда	Когда	Гарри Уиттингтон	и его ученики Дерек Бриггс и
220	6	решётки из атомов подложки Когда	Когда	Дональд Эйглер	год назад выступал с лекцией в
221	1091	бы так не сказал. Когда	Когда	Экстелл	подсчитал каких размеров будет крупнейший мегарегион
222	395	атомарный или молекулярный газ. Когда	Когда	Ричардсон	стал полноправным гражданином страны он получил
223	562	религии Хеттского царства Билли Коллинс	Коллинс	Billie Jean Collins	из Университета Эмори хеттологи даже пытались
224	313	Андреса Белло и Родриго Контрераса	Контрераса	Rodrigo Contreras	из Папского католического университета Чили выполнила
225	1991	Федоровой Андрея Кибрика Николая Коротаева	Коротаева	Аллы Литвиненко	и Юлии Николаевой . Они изучили
226	1569	сказать определенно. В противоположность Крепелину	Крепелину	Блейлер	предложивший вместо Dementia praecox устоявшийся термин
227	844	запускается рефлексия философской традиции. Кроме	Кроме	Франка	я по возможности включаю в свои
228	916	В отличие от де Крюи	Крюи	Лэйнг	психиатр. В молодости он работал врачом
229	2018	подсчёта разработана Морисом де Кундером	Кундером	Maurice de Kunder	опубликовавшим её в феврале этого года.
230	380	потом и любовником Марии Кюри	Кюри	Полем Ланжевеном	. Невероятная концентрация физического интеллекта В
231	899	предложена в 1982 году Лампортом	Лампортом	Пизом	и Шостаком . Ее значение в
232	1025	несколько в частности в Ленинграде	Ленинграде	Юрий Евгеньевич Березкин	который занимается распространением мифов. Как будто
233	1999	его второго тома. Лекция Леонида	Леонида	Когана	была посвящена общим мотивам сокотрийского устного
234	852	старались развивать философию Ильенков Лифшиц	Лифшиц	Мамардашвили	шестидесятники Мотрошилова Эрих Соловьев . Есть
235	1004	зав.кафедрой МГУ им. М.В. Ломоносова	Ломоносова	Андрей Хазин	фрагмент лекции История наградных систем зарождение
236	1087	Благодаря таким мыслителям как Лукас	Лукас	Джекобс	и члены команды из Института Санта-Фе
237	1700	нашей Р. Нигматулин Р. Лэхи	Лэхи	Р. Талейархан	Р. Блок К. Вест большой статье
238	1694	выдающимися американскими специалистами Р. Лэхи	Лэхи	Р. Блоком	и К. Вестом работаю над пузырьковым
239	1775	и трансфера технологий НИТУ МИСиС	МИСиС	Сергей Громов	рассказал о курсе Инновационная экономика .
240	355	коллега и соавтор профессор МИСиС	МИСиС	Юрий Векилов	Абрикосов был замечательным человеком и отличным
241	764	Международного центра робототехники НИТУ МИСиС	МИСиС	Александр Балесный	. Для компьютерной программы нет слова
242	1524	премию за создание метода МРТ.	МРТ.	Питер Мэнсфилд	показал как радиосигнал полученный от МР-спектрометра
243	308	сотрудник кафедры теоретической физики МФТИ	МФТИ	Александр Дорофеенко	. Итоги исследования изложены в научном
244	846	свои курсы и Мераба Мамардашвили	Мамардашвили	Владимира Соловьева	. Почему русская философия оказывается такой
245	412	просвещения очень важна подача. Маркова	Маркова	Попова	и иже с ними будут слушать
246	1892	источники метана в атмосфере Марса	Марса	Исчезать	же метан может тоже под действием
247	1704	лауреаты по экономике Эрик Маскин	Маскин	Джордж Стиглиц	. Повторяю повышение налогов не должно
248	1299	эти процессы изучены в Мексике.	Мексике.	Элинор Г. К. Мелвилль	собрала множество подтверждений безудержного пере- выпаса
249	545	археолог XX века Джеймс Меллаарт	Меллаарт	James Mellaart	. Меллаарт даже якобы видел эти
250	310	исследователей под руководством Данте Миннити	Миннити	Dante	Minniti из Университета Андреса Белло и
251	681	пневмонии три месяца спустя. Мистер	Мистер	Блэр	и его черная вдова В ноябре
252	676	приличных учебниках по нейрофизиологии. Мистер	Мистер	Кейн	и его аппендикс 15 февраля 1921
253	701	немногим менее двух метров. Мистер	Мистер	Баркрофт	и его пограничные экскурсии Но все
254	692	описал свои психоделические эксперименты. Мистер	Мистер	Стрэттон	и его мир вверх ногами Американского
255	678	неохотно отошли от стола. Мистеру	Мистеру	Кейну	пришлось опереться о подушки ввести себе
256	305	Брэдфордского университета и Джанет Монтгомери	Монтгомери	Jannette	Montgomery у жертв голода имеется характерное
257	40	Уиттингтона . Саймон Конвей Моррис	Моррис	Дерек Бриггс	Дэвид Брутон Крис Хьюз все они
258	854	Ильенков Лифшиц Мамардашвили шестидесятники Мотрошилова	Мотрошилова	Эрих Соловьев	. Есть и третье поле условная
259	1680	существование обратил внимание Франциск Мохика	Мохика	Francisco Mojica	потрясающе умный но совершенно не раскрученный
260	280	Куренниеми теории математических гармоний. Музыка	Музыка	Куренниеми	один из пионеров электронного авангарда а
